,Time,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
500,500,9,"0,081","0,25","0,9984","7,8",14,"3,43",6,"1,9","0,65",38,"0,52"
501,501,12,"0,074","0,73","0,999","10,4",38,"3,17",7,"6,55","0,85",76,"0,44"
502,502,12,"0,074","0,73","0,999","10,4",38,"3,17",7,"6,55","0,85",76,"0,44"
503,503,"10,9","0,078","0,47","0,9976","10,5",6,"3,18",7,"1,9","1,04",24,"0,26"
504,504,"10,8","0,077","0,42","0,9976","10,5",6,"3,21",7,"1,8","1,05",22,"0,24"
505,505,"12,5","0,072","0,63","0,9968","10,2",10,"3,16",7,"2,9","0,78",26,"0,49"
506,506,"10,8","0,075","0,46","0,9976","10,4",6,"3,25",7,"1,8","1,02",21,"0,24"
507,507,"9,5","0,084","0,55",1,"11,2",6,"3,17",6,"2,3","0,71",13,"0,67"
508,508,"10,2","0,09","0,31","0,9994",10,26,"3,18",6,"2,2","0,63",62,"0,59"
509,509,"11,4","0,084","0,75","0,9986","13,3",23,"3,04",7,"2,8","0,68",43,"0,29"
510,510,"9,5","0,073","0,49","0,9978","12,4",19,"3,02",5,"4,6","0,61",43,"0,42"
511,511,"10,2","0,09","0,31","0,9994",10,26,"3,18",6,"2,2","0,63",62,"0,59"
512,512,"9,7","0,125","0,48","0,998","10,7",15,"3,03",6,"2,1","0,81",49,"0,4"
513,513,"11,8","0,107","0,64","0,9973","10,5",6,"3,09",7,"2,4","0,66",15,"0,51"
514,514,"11,8","0,107","0,64","0,9973","10,5",6,"3,09",7,"2,4","0,66",15,"0,51"
515,515,"9,3","0,122","0,49","1,001","8,5",34,"3,31",5,"6,1","1,14",151,"0,655"
516,516,"11,9","0,1","0,49","1,001","12,5",5,"3,25",6,"4,3","0,74",14,"0,6"
517,517,"8,4","0,2","0,49","0,9994","10,4",5,"3,16",3,"2,1","0,63",16,"0,61"
518,518,"11,7","0,088","0,49","0,9972","10,9",11,"3,22",6,"2,8","0,68",32,"0,21"
519,519,11,"0,088","0,49","0,9966","7,3",39,"3,36",5,"2,5","0,78",106,"0,365"
520,520,10,"0,088","0,49","0,9982","9,8",15,"3,42",6,"2,7","0,9",33,"0,25"
521,521,"9,1","0,088","0,49","0,998","7,6",16,"3,48",5,2,"0,64",43,"0,41"
522,522,"9,8","0,099","0,49","0,9979","8,2",47,"3,38",5,"2,3","0,99",133,"0,39"
523,523,"9,4","0,085","0,49","0,9978","9,3",38,"3,22",5,"2,5","0,55",142,"0,4"
524,524,"9,5","0,086","0,49","0,9976","9,2",23,"3,23",5,"2,4","0,64",116,"0,43"
525,525,"9,9","0,105","0,24","0,9998","10,4",29,"3,24",5,"2,8","0,67",53,"0,64"
526,526,11,"0,088","0,49","0,9966","7,3",39,"3,36",5,"2,5","0,78",106,"0,365"
527,527,"11,4","0,097","0,49","0,9962",7,33,"3,39",6,"2,5","0,77",85,"0,38"
528,528,"8,7","0,084","0,49","0,9988","8,2",32,"3,34",6,"2,6","0,75",55,"0,42"
529,529,"9,4","0,077","0,24","0,9974","9,9",6,"3,09",5,"2,4","0,57",33,"0,63"
530,530,"10,3","0,078","0,24","0,999","9,1",1,"3,41",6,"2,1","0,87",28,"0,22"
531,531,"10,3","0,098","0,49","1,0004","11,9",12,"3,16",5,"2,7","0,61",42,"0,38"
532,532,"10,3","0,098","0,49","1,0004","11,9",12,"3,16",5,"2,7","0,61",42,"0,38"
533,533,"12,8","0,072","0,24","0,9956","10,3",15,"3,22",6,"2,1","0,66",33,"0,27"
534,534,10,"0,102","0,24",1,10,13,"3,28",6,"2,7","0,56",32,"0,48"
535,535,"10,3","0,078","0,24","0,999","9,1",1,"3,41",6,"2,1","0,87",28,"0,22"
536,536,"9,4","0,077","0,24","0,9974","9,9",6,"3,09",5,"2,4","0,57",33,"0,63"
537,537,"10,7","0,084","0,24","0,9972","8,1",5,"3,37",6,"2,1","0,77",13,"0,825"
538,538,12,"0,066","0,49","1,0014","12,9",5,"3,2",7,"5,8","0,66",35,"0,35"
539,539,"11,2","0,1","0,74","0,9996","11,2",5,"3,22",5,"5,15","0,62",17,"0,5"
540,540,"9,6","0,101","0,24","0,9988","9,2",20,"3,26",5,"3,3","0,67",47,"0,59"
541,541,11,"0,064","0,49","0,9988","9,5",5,"3,21",6,"6,3","0,73",17,"0,46"
542,542,"9,9","0,07","0,24","0,9966","9,3",5,"3,12",5,"2,1","0,59",20,"0,715"
543,543,11,"0,085","0,24","0,9993","11,2",16,"3,06",6,"2,5","0,72",53,"0,66"
544,544,"8,4","0,075","0,74","1,0008","14,3",6,"2,86",6,"1,8","0,79",15,"0,31"
545,545,"9,1","0,094","0,49","0,9982","9,1",38,"3,08",5,"2,6","0,59",106,"0,47"
546,546,"9,5","0,078","0,24","0,9983","7,5",10,"3,45",6,2,"0,78",28,"0,55"
547,547,"10,7","0,067","0,49","0,9987","10,6",6,"3,26",6,"2,5","0,86",21,"0,31"
548,548,"10,4","0,079","0,49","0,9994","12,4",27,"3,12",6,"2,6","0,75",69,"0,35"
549,549,"9,4","0,171","0,49","0,9975",9,6,"3,27",6,"1,9","0,61",25,"0,53"
